Number,Symbol,Name,Mass,Color
1,H,Hydrogen,1.008,XXX
3,Li,Lithium,6.941,255
6,C,Carbon,12.011,333
7,N,Nitrogen,14.007,028
8,O,Oxygen,15.999,800
13,Al,Aluminium,26.982,999
14,Si,Silicon,28.086,343
16,S,Sulfur,32.065,872
17,Cl,Chlorine,35.453,083
22,Ti,Titanium,47.867,888
26,Fe,Iron,55.845,555
27,Co,Cobalt,58.933,245
28,Ni,Nickel,58.693,667
29,Cu,Copper,63.546,633
30,Zn,Zinc,65.390,666
47,Ag,Silver,107.868,666
50,Sn,Tin,118.710,777
74,W,Tungsten,183.840,333
79,Au,Gold,196.967,751
82,Pb,Lead,207.200,568
92,U,Uranium,238.029,471
